rule,human_count,machine_count,human_docs,machine_docs,total_count
"PROPN(*, PROPN/flat:name, PROPN/parataxis)",1,1,1,1,2
"VERB(PUNCT/punct, CCONJ/cc, NOUN/nsubj, *, VERB/ccomp)",0,2,0,1,2
"VERB(PUNCT/punct, CCONJ/cc, ADV/advmod, *, NOUN/obj)",1,1,1,1,2
"VERB(NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl:agent, PUNCT/punct)",0,2,0,2,2
"NOUN(*, NOUN/conj, NOUN/nmod)",0,2,0,2,2
"NOUN(*, NOUN/flat:name)",2,0,2,0,2
"ADV(*, PRON/fixed, PUNCT/punct)",0,2,0,2,2
"ADV(*, SCONJ/fixed)",0,2,0,2,2
"ADV(*, VERB/acl)",1,1,1,1,2
"VERB(PROPN/obl, NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",0,2,0,2,2
"VERB(PROPN/nsubj, *, VERB/ccomp, VERB/conj, PUNCT/punct)",2,0,2,0,2
"VERB(PUNCT/punct, ADP/mark, *, NOUN/obl)",1,1,1,1,2
"VERB(PUNCT/punct, ADV/advmod, *, NOUN/obj, NOUN/obl)",2,0,1,0,2
"VERB(PUNCT/punct, ADV/advmod, NOUN/nsubj, *, NOUN/obj)",1,1,1,1,2
"VERB(PUNCT/punct, *, NOUN/obj, VERB/advcl)",1,1,1,1,2
"VERB(PUNCT/punct, *, NOUN/obl, NOUN/obj)",0,2,0,2,2
"VERB(PUNCT/punct, *, NOUN/obl:agent)",0,2,0,2,2
"VERB(PUNCT/punct, *, NOUN/obl:agent, PUNCT/punct, PUNCT/punct)",0,2,0,2,2
"NOUN(ADP/case, DET/det, ADJ/amod, *, PROPN/nmod, PROPN/appos)",1,1,1,1,2
"NOUN(ADP/case, DET/det, ADJ/amod, *, VERB/acl:relcl)",0,2,0,2,2
"PROPN(ADP/case, *, PUNCT/punct)",0,2,0,2,2
"VERB(ADV/advmod, *, ADV/advmod)",0,2,0,2,2
"VERB(NOUN/nsubj, *, NOUN/obl, NOUN/obj, VERB/advcl, PUNCT/punct)",0,2,0,2,2
"VERB(NOUN/nsubj, *, VERB/ccomp, VERB/conj, PUNCT/punct)",0,2,0,2,2
"VERB(NOUN/nsubj, *, ADV/advmod, VERB/ccomp, PUNCT/punct)",1,1,1,1,2
"VERB(NOUN/nsubj, *, NOUN/ccomp, PUNCT/punct)",1,1,1,1,2
"VERB(NOUN/nsubj, *, NOUN/obj)",2,0,2,0,2
"VERB(CCONJ/cc, PRON/obj, *)",2,0,2,0,2
"NOUN(*, X/nmod)",2,0,2,0,2
"VERB(PRON/nsubj, *, NOUN/obl, NOUN/obj)",0,2,0,2,2
"VERB(PRON/nsubj, *, VERB/ccomp)",1,1,1,1,2
"PROPN(*, PROPN/conj)",1,1,1,1,2
"PROPN(*, PROPN/flat:name, NOUN/conj)",1,1,1,1,2
"PROPN(*, PROPN/flat:name, PROPN/flat:name, PROPN/flat:name)",0,2,0,2,2
"NOUN(ADP/case, DET/det, PUNCT/punct, *, PUNCT/punct)",1,1,1,1,2
"NOUN(ADP/case, PUNCT/punct, *, ADJ/amod, PUNCT/punct, NOUN/conj)",0,2,0,2,2
"NOUN(ADP/case, DET/det, ADJ/amod, *, PROPN/nmod)",0,2,0,1,2
"NOUN(ADP/case, DET/det, PUNCT/punct, *, ADJ/amod, PUNCT/punct)",0,2,0,2,2
"NUM(ADV/advmod, *, ADV/conj)",2,0,1,0,2
"NUM(ADV/advmod, *, NUM/flat)",0,2,0,1,2
"NOUN(SCONJ/mark, NOUN/nsubj, AUX/cop, DET/det, ADJ/amod, *, NOUN/nmod, VERB/advcl)",2,0,1,0,2
"NOUN(SYM/nmod, NUM/nummod, *)",0,2,0,2,2
"NOUN(PUNCT/punct, DET/det, *, ADJ/amod)",1,1,1,1,2
"NOUN(PUNCT/punct, ADP/case, DET/det, *, PROPN/nmod)",2,0,2,0,2
"NOUN(ADV/advmod, DET/det, *, NOUN/nmod)",1,1,1,1,2
"NOUN(AUX/cop, DET/det, *, VERB/acl)",1,1,1,1,2
"NOUN(PUNCT/punct, ADP/case, *, ADJ/amod, NOUN/nmod)",0,2,0,2,2
"NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod, PUNCT/punct)",1,1,1,1,2
"NOUN(PUNCT/punct, ADP/case, *, VERB/acl)",0,2,0,2,2
"NOUN(PUNCT/punct, ADP/case, DET/det, *, ADJ/amod, VERB/acl)",0,2,0,2,2
"NOUN(PUNCT/punct, ADP/case, DET/det, *, NOUN/nmod)",0,2,0,2,2
"NOUN(PUNCT/punct, ADP/case, DET/det, *, NOUN/nmod, PUNCT/punct)",2,0,2,0,2
"NOUN(CCONJ/cc, ADJ/amod, *)",0,2,0,2,2
"NOUN(CCONJ/cc, ADP/case, *)",0,2,0,2,2
"VERB(NOUN/obl, NOUN/nsubj, *, NOUN/obj, NOUN/obl, PUNCT/punct)",0,2,0,2,2
"NOUN(ADJ/amod, *, PROPN/nmod)",0,2,0,2,2
"NOUN(ADJ/amod, *, VERB/acl)",1,1,1,1,2
"VERB(CCONJ/cc, *, NOUN/obj, VERB/advcl)",1,1,1,1,2
"VERB(AUX/aux:pass, *, ADV/advmod)",1,1,1,1,2
"VERB(ADV/advmod, PROPN/nsubj, *, VERB/ccomp, PUNCT/punct)",0,2,0,2,2
"VERB(ADV/advmod, ADV/advmod, *, NOUN/obl)",0,2,0,2,2
"VERB(ADP/mark, PRON/expl:impers, *)",0,2,0,2,2
"VERB(ADP/mark, PRON/nsubj, *, NOUN/obj)",0,2,0,2,2
"VERB(ADP/mark, PRON/obj, *, NOUN/obl)",2,0,2,0,2
"NOUN(CCONJ/cc, ADP/case, *, ADJ/amod)",0,2,0,2,2
"NOUN(ADV/advmod, DET/det, *, ADJ/amod, NOUN/nmod)",2,0,2,0,2
"NOUN(PUNCT/punct, *, NOUN/nmod, PROPN/nmod, PUNCT/punct)",1,1,1,1,2
"NOUN(PUNCT/punct, *, ADJ/amod, NOUN/nmod)",0,2,0,2,2
"NOUN(NOUN/nsubj, AUX/cop, DET/det, *, ADJ/amod, VERB/acl, PUNCT/punct)",1,1,1,1,2
"NOUN(NUM/nummod, *, ADJ/amod)",0,2,0,2,2
"NOUN(NUM/nummod, *, NOUN/nmod)",2,0,2,0,2
"NOUN(DET/det, NUM/nummod, *)",2,0,1,0,2
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, ADV/advmod)",0,2,0,2,2
"VERB(SCONJ/mark, NOUN/nsubj, *, ADV/advmod, NOUN/obj, VERB/advcl)",0,2,0,2,2
"VERB(SCONJ/mark, NOUN/nsubj, *, ADV/advmod, VERB/advcl)",1,1,1,1,2
"VERB(PUNCT/punct, SCONJ/mark, NOUN/nsubj, *, NOUN/obj)",0,2,0,2,2
"NOUN(DET/det, *, PROPN/nmod, ADJ/amod)",0,2,0,2,2
"VERB(NOUN/obl, PROPN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",0,2,0,2,2
"NOUN(*, ADJ/amod, NOUN/nmod, NOUN/appos)",1,1,1,1,2
"NOUN(*, ADJ/amod, NOUN/nmod, VERB/acl:relcl)",0,2,0,2,2
"VERB(NOUN/obl, NOUN/nsubj, *, VERB/xcomp, PUNCT/punct)",0,2,0,2,2
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, PROPN/nmod)",0,2,0,2,2
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, VERB/acl:relcl)",0,2,0,2,2
"VERB(PUNCT/punct, PRON/nsubj, *, NOUN/obj, PUNCT/punct)",0,2,0,2,2
"ADJ(SCONJ/mark, NOUN/nsubj, AUX/cop, *)",2,0,2,0,2
"ADJ(SCONJ/mark, NOUN/nsubj, AUX/cop, *, NOUN/obl, VERB/advcl)",0,2,0,2,2
"ADJ(SCONJ/mark, NOUN/nsubj, AUX/cop, *, VERB/advcl)",0,2,0,2,2
"NOUN(DET/det, *, PROPN/nmod, VERB/acl:relcl)",1,1,1,1,2
"NOUN(DET/det, *, PUNCT/punct)",2,0,1,0,2
"NOUN(DET/det, *, VERB/acl, VERB/acl)",0,2,0,2,2
"VERB(NOUN/nsubj:pass, AUX/aux, AUX/aux:pass, *, NOUN/obl, PUNCT/punct)",0,2,0,2,2
"VERB(NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl, VERB/conj, PUNCT/punct)",1,1,1,1,2
"VERB(SCONJ/mark, NOUN/nsubj:pass, AUX/aux:pass, *, VERB/advcl)",0,2,0,2,2
"ADJ(ADV/advmod, *, NOUN/obl)",1,1,1,1,2
"X(PUNCT/punct, *)",2,0,2,0,2
*(SYM),1,0,1,0,1
*(INTJ),1,0,1,0,1
*(PRON),1,0,1,0,1
"VERB(VERB/advcl, PUNCT/punct, PRON/nsubj:pass, AUX/aux, AUX/aux:pass, *, ADV/advmod, NOUN/obl:agent, ADV/advmod, VERB/parataxis)",0,1,0,1,1
"VERB(VERB/advcl, PROPN/nsubj, *, NOUN/obl, PUNCT/punct)",1,0,1,0,1
"VERB(VERB/advcl, PROPN/nsubj, *, NOUN/obj, PUNCT/punct)",1,0,1,0,1
"VERB(VERB/advcl, PROPN/nsubj, *, ADV/advmod, NOUN/obj, VERB/conj, PUNCT/punct)",0,1,0,1,1
"VERB(VERB/advcl, PRON/nsubj, PRON/expl, *, NOUN/obl, PUNCT/punct)",1,0,1,0,1
"ADJ(ADP/mark, NOUN/nsubj, AUX/cop, *, NOUN/conj)",0,1,0,1,1
"ADJ(ADV/advmod, *, ADJ/conj)",0,1,0,1,1
"ADJ(ADV/advmod, *, PUNCT/punct)",0,1,0,1,1
"ADJ(ADV/advmod, *, VERB/advcl)",0,1,0,1,1
"ADJ(ADV/advmod, ADV/advmod, *, PUNCT/punct)",0,1,0,1,1
"ADJ(AUX/cop, *, NOUN/obl)",0,1,0,1,1
"ADJ(AUX/cop, ADV/advmod, *, NOUN/obl)",0,1,0,1,1
"ADJ(AUX/cop, ADV/advmod, *, PROPN/obl, PUNCT/punct)",1,0,1,0,1
"ADJ(AUX/cop, ADV/advmod, *, VERB/advcl)",0,1,0,1,1
"VERB(SYM/nsubj, PRON/expl, *, ADJ/xcomp, PUNCT/punct)",1,0,1,0,1
"VERB(VERB/advcl, *, NOUN/obj, PUNCT/punct)",1,0,1,0,1
"VERB(SCONJ/mark, PROPN/nsubj, ADV/advmod, *, NOUN/obj, PROPN/obl)",1,0,1,0,1
"VERB(SCONJ/mark, PROPN/nsubj, ADV/advmod, *, NOUN/obj, VERB/advcl)",1,0,1,0,1
"VERB(SCONJ/mark, PROPN/nsubj, ADV/advmod, *, NOUN/obl)",0,1,0,1,1
"VERB(SCONJ/mark, PROPN/nsubj, ADV/advmod, *, NOUN/obl, NOUN/obj, NOUN/obl, NUM/obl)",0,1,0,1,1
"VERB(SCONJ/mark, PROPN/nsubj, AUX/aux, *, NOUN/obj, NOUN/obl)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, NUM/nmod, PROPN/nmod)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod, NOUN/appos)",1,0,1,0,1
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod, NUM/nmod, NOUN/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, DET/det, *, VERB/acl:relcl)",1,0,1,0,1
"NOUN(CCONJ/cc, DET/det, ADJ/amod, *)",0,1,0,1,1
"NOUN(CCONJ/cc, DET/det, DET/det, *, PUNCT/punct, PUNCT/punct)",1,0,1,0,1
"NOUN(DET/det, *, ADJ/amod, VERB/acl, PROPN/appos)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, VERB/acl:relcl, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/conj, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/nmod, ADV/advmod)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/nmod, NOUN/nmod, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/nmod, NUM/nmod)",1,0,1,0,1
"NOUN(DET/det, *, NOUN/nmod, PRON/nmod)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, ADV/advmod, NOUN/conj)",1,0,1,0,1
"NOUN(DET/det, *, ADJ/amod, NOUN/appos)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, ADJ/amod)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, ADJ/amod, NOUN/nmod, VERB/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/nmod, PROPN/appos, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/nmod, PROPN/nmod, NOUN/appos)",1,0,1,0,1
"NOUN(DET/det, *, NOUN/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(DET/det, *, NOUN/nmod, VERB/acl, VERB/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, *, NOUN/nmod, VERB/advcl)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, NOUN/appos)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, NOUN/appos, VERB/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, NOUN/conj, NOUN/conj)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, NOUN/nmod, NOUN/conj)",1,0,1,0,1
"NOUN(DET/det, *, ADJ/amod, PROPN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, SYM/nmod, ADJ/amod)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, NOUN/conj, NOUN/conj)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, NUM/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, NUM/nummod, *)",0,1,0,1,1
"NOUN(CCONJ/cc, NUM/nummod, *, ADJ/amod)",0,1,0,1,1
"NOUN(CCONJ/cc, NUM/nummod, *, NOUN/nmod)",1,0,1,0,1
"NOUN(CCONJ/cc, NUM/nummod, *, NUM/nmod)",1,0,1,0,1
"NOUN(CCONJ/cc, SYM/nsubj, AUX/cop, ADP/case, *, NOUN/nmod)",1,0,1,0,1
"NOUN(DET/det, *, ADJ/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, ADJ/amod, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, ADJ/conj)",0,1,0,1,1
"NOUN(DET/det, *, ADJ/amod, ADV/advmod)",0,1,0,1,1
"NOUN(CCONJ/cc, ADP/case, DET/det, *, PROPN/nmod, PROPN/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, ADV/advmod, ADJ/amod, *, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, PROPN/nmod, NOUN/nmod)",1,0,1,0,1
"NOUN(DET/det, *, PROPN/nmod, PROPN/nmod, PROPN/appos)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, VERB/parataxis)",1,0,1,0,1
"NOUN(DET/det, *, X/appos)",1,0,1,0,1
"NOUN(NOUN/conj, NOUN/parataxis, *, NOUN/parataxis)",1,0,1,0,1
"NOUN(NOUN/nmod, PRON/nsubj, AUX/cop, DET/det, *, ADJ/amod, PUNCT/punct)",1,0,1,0,1
"NOUN(DET/det, ADJ/amod, *, ADV/advmod)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod, NOUN/conj)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, PROPN/nmod, VERB/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, VERB/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, *, VERB/amod)",0,1,0,1,1
"NOUN(DET/det, ADJ/amod, NUM/nummod, *, PROPN/nmod)",1,0,1,0,1
"NOUN(DET/det, ADJ/amod, PUNCT/punct, *, ADJ/amod, PUNCT/punct)",0,1,0,1,1
"NOUN(DET/det, CCONJ/cc, ADP/case, DET/det, *)",1,0,1,0,1
"NOUN(DET/det, DET/det, *, ADJ/amod, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, PROPN/appos)",0,1,0,1,1
"NOUN(DET/det, *, PROPN/nmod, PROPN/nmod, NOUN/appos)",0,1,0,1,1
"NOUN(NOUN/nsubj, NOUN/nmod, AUX/cop, *, NOUN/nmod, PUNCT/punct)",0,1,0,1,1
"NOUN(NUM/nsubj, AUX/cop, DET/det, *, NOUN/acl, PUNCT/punct)",0,1,0,1,1
"NOUN(NUM/nummod, *, NOUN/nmod, PROPN/nmod)",1,0,1,0,1
"NOUN(NUM/nummod, *, NOUN/nmod, VERB/advcl)",1,0,1,0,1
"NOUN(NUM/nummod, *, NUM/nummod)",1,0,1,0,1
"NOUN(DET/det, DET/det, *, NOUN/conj)",1,0,1,0,1
"NOUN(DET/det, DET/det, *, NOUN/conj, X/nmod)",1,0,1,0,1
"NOUN(DET/det, DET/det, *, VERB/acl)",0,1,0,1,1
"NOUN(DET/det, DET/det, *, VERB/acl:relcl)",1,0,1,0,1
"NOUN(DET/det, DET/det, ADJ/amod, *, ADJ/nmod)",1,0,1,0,1
"NOUN(DET/det, PUNCT/punct, *, ADJ/amod, PUNCT/punct, NOUN/nmod)",0,1,0,1,1
"NOUN(DET/det, PUNCT/punct, *, ADJ/amod, PUNCT/punct, NOUN/nmod, ADJ/acl)",0,1,0,1,1
"NOUN(DET/det, PUNCT/punct, *, ADJ/amod, PUNCT/punct, NOUN/nmod, VERB/acl:relcl)",0,1,0,1,1
"NOUN(DET/det, PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0,1,0,1,1
"NOUN(DET/det, PUNCT/punct, ADJ/amod, *, PUNCT/punct)",1,0,1,0,1
"NOUN(DET/nsubj, NOUN/nsubj, AUX/cop, DET/det, *, ADJ/amod, PUNCT/punct)",1,0,1,0,1
"NOUN(NOUN/nsubj, AUX/cop, *, NOUN/conj, NOUN/parataxis, PUNCT/punct)",1,0,1,0,1
"NOUN(CCONJ/cc, ADV/advmod, ADP/case, DET/det, *, NOUN/conj, NOUN/nmod)",1,0,1,0,1
"NOUN(CCONJ/cc, ADV/advmod, DET/det, *, NOUN/conj)",1,0,1,0,1
"NOUN(CCONJ/cc, ADV/advmod, SYM/nmod, NUM/nummod, *)",0,1,0,1,1
"NOUN(CCONJ/cc, ADV/case, *, NOUN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(CCONJ/cc, DET/det, *, ADJ/amod, NOUN/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, DET/det, *, ADJ/amod, PROPN/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod, NOUN/nmod)",1,0,1,0,1
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod, PROPN/appos, ADV/advmod)",0,1,0,1,1
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(CCONJ/cc, *, ADJ/amod, ADJ/amod)",0,1,0,1,1
"NOUN(CCONJ/cc, *, ADJ/amod, PROPN/nmod)",0,1,0,1,1
"NOUN(NOUN/nsubj, AUX/cop, ADP/case, DET/det, *, ADJ/amod, PROPN/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(NOUN/nsubj, AUX/cop, ADP/case, DET/det, *, NOUN/nmod, VERB/advcl, PUNCT/punct)",1,0,1,0,1
"NOUN(NOUN/nsubj, AUX/cop, DET/det, *, VERB/acl, PUNCT/punct)",0,1,0,1,1
"NOUN(NOUN/nsubj, AUX/cop, NOUN/nmod, *, ADJ/amod, VERB/acl, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, *, ADJ/amod, NOUN/conj)",0,1,0,1,1
"NOUN(NUM/nummod, *, NUM/nummod, NUM/nummod)",1,0,1,0,1
"NOUN(PRON/nsubj, AUX/cop, ADV/advmod, ADP/case, DET/det, *, NOUN/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(PRON/nsubj, AUX/cop, DET/det, *, PROPN/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(PRON/nsubj, AUX/cop, DET/det, *, VERB/acl:relcl, PUNCT/punct)",1,0,1,0,1
"NOUN(PROPN/nmod, PRON/nsubj, AUX/cop, DET/det, *, NOUN/nmod)",1,0,1,0,1
"NOUN(PROPN/nsubj, ADV/advmod, AUX/cop, ADV/advmod, DET/det, *, PROPN/nmod, NOUN/conj, PUNCT/punct)",0,1,0,1,1
"NOUN(PROPN/nsubj, AUX/cop, ADP/case, DET/det, *, PROPN/nmod, VERB/advcl, PUNCT/punct)",1,0,1,0,1
"NOUN(PROPN/nsubj, AUX/cop, DET/det, ADJ/amod, *, NOUN/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(PUNCT/punct, *, ADJ/acl:relcl)",0,1,0,1,1
"NOUN(PUNCT/punct, *, ADJ/amod, NOUN/appos, PUNCT/punct)",1,0,1,0,1
"NOUN(PUNCT/punct, *, ADJ/amod, NOUN/nmod, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, *, ADJ/amod, PROPN/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(PUNCT/punct, *, ADJ/amod, PUNCT/punct)",0,1,0,1,1
"NOUN(NOUN/nsubj, ADV/advmod, AUX/cop, *, NOUN/nmod, PUNCT/punct)",0,1,0,1,1
"NOUN(NOUN/nsubj, ADV/advmod, AUX/cop, ADV/advmod, *, ADJ/amod, NOUN/nmod, NOUN/conj, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, *, ADV/advmod)",0,1,0,1,1
"NOUN(PUNCT/punct, *, NOUN/conj, PRON/nmod, PUNCT/punct)",1,0,1,0,1
"NOUN(CCONJ/cc, *, ADJ/amod, VERB/acl)",0,1,0,1,1
"NOUN(CCONJ/cc, *, ADV/acl:relcl)",1,0,1,0,1
"NOUN(CCONJ/cc, *, VERB/acl)",0,1,0,1,1
"NOUN(CCONJ/cc, *, X/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, ADJ/amod, *, PROPN/nmod)",0,1,0,1,1
"NOUN(CCONJ/cc, ADP/case, ADJ/amod, *, PUNCT/punct)",1,0,1,0,1
"NOUN(CCONJ/cc, ADP/case, DET/det, *)",0,1,0,1,1
"NOUN(ADV/advmod, AUX/cop, DET/det, ADJ/amod, *, VERB/acl, PUNCT/punct)",0,1,0,1,1
"NOUN(ADV/advmod, DET/det, *)",1,0,1,0,1
"NOUN(PUNCT/punct, *, NOUN/nmod, NOUN/nmod, ADJ/amod)",0,1,0,1,1
"NOUN(PUNCT/punct, *, PRON/nsubj, VERB/acl:relcl)",1,0,1,0,1
"NOUN(PUNCT/punct, *, VERB/acl:relcl, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, *, VERB/parataxis)",1,0,1,0,1
"NOUN(PUNCT/punct, ADP/case, *, ADJ/amod, ADJ/amod, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADV/advmod, ADP/case, *, ADJ/amod, NOUN/nmod, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADV/advmod, ADP/case, *, VERB/acl, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, ADV/advmod, AUX/cop, *, VERB/acl:relcl)",1,0,1,0,1
"NOUN(PUNCT/punct, ADV/advmod, DET/det, *, PRON/nmod)",0,1,0,1,1
"NOUN(PUNCT/punct, AUX/cop, ADP/case, *, NOUN/conj)",1,0,1,0,1
"NOUN(PUNCT/punct, AUX/cop, DET/det, *, NOUN/nmod, ADJ/amod, NOUN/conj, PUNCT/punct, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, AUX/cop, DET/det, *, PROPN/nmod)",0,1,0,1,1
"NOUN(PUNCT/punct, CCONJ/cc, *)",1,0,1,0,1
"NOUN(PUNCT/punct, ADP/case, *, ADJ/amod, PROPN/nmod)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, *, NOUN/conj, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod, NOUN/conj, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod, NOUN/nmod)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, *, PRON/nmod, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, *, VERB/amod, NOUN/nmod)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, DET/det, *, ADJ/amod, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, DET/det, *, ADJ/amod, SYM/nmod)",0,1,0,1,1
"NOUN(ADV/advmod, DET/det, *, NOUN/nmod, NOUN/conj)",1,0,1,0,1
"NOUN(ADV/advmod, DET/det, *, PRON/nmod)",1,0,1,0,1
"NOUN(ADV/advmod, DET/det, *, VERB/acl)",1,0,1,0,1
"NOUN(ADV/advmod, DET/det, *, VERB/acl, PUNCT/punct)",1,0,1,0,1
"NOUN(AUX/cop, *, NOUN/nmod)",1,0,1,0,1
"NOUN(AUX/cop, ADV/advmod, DET/det, *, NOUN/nmod, NOUN/nmod)",0,1,0,1,1
"NOUN(AUX/cop, DET/det, *, ADJ/amod, NOUN/nmod, VERB/parataxis, PUNCT/punct)",1,0,1,0,1
"NOUN(AUX/cop, DET/det, *, ADJ/amod, VERB/acl)",0,1,0,1,1
"NOUN(AUX/cop, DET/det, *, ADJ/amod, VERB/acl, PUNCT/punct)",1,0,1,0,1
"NOUN(ADP/case, PUNCT/punct, *, VERB/acl, PUNCT/punct)",0,1,0,1,1
"NOUN(ADP/case, PUNCT/punct, ADJ/amod, *, NOUN/nmod, NOUN/nmod, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, DET/det, *, VERB/acl:relcl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, DET/det, ADJ/amod, *, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, DET/det, DET/det, *, PUNCT/punct)",1,0,1,0,1
"NOUN(PUNCT/punct, ADP/case, NUM/nummod, *, ADJ/amod, PUNCT/punct)",0,1,0,1,1
"NOUN(PUNCT/punct, ADP/case, NUM/nummod, *, PUNCT/punct)",0,1,0,1,1
"NOUN(SCONJ/mark, NOUN/nsubj, AUX/cop, ADP/case, *)",0,1,0,1,1
"NOUN(PUNCT/punct, CCONJ/cc, ADP/case, *, ADJ/amod)",1,0,1,0,1
"NOUN(PUNCT/punct, CCONJ/cc, ADV/advmod, *, NOUN/nmod)",0,1,0,1,1
"NOUN(PUNCT/punct, CCONJ/cc, ADV/advmod, *, VERB/acl)",0,1,0,1,1
"NOUN(PUNCT/punct, CCONJ/cc, ADV/advmod, ADP/case, DET/det, *, ADJ/amod)",0,1,0,1,1
"NOUN(PUNCT/punct, CCONJ/cc, DET/det, *, VERB/acl:relcl)",0,1,0,1,1
"NOUN(PUNCT/punct, CCONJ/cc, NOUN/nsubj, AUX/cop, *, NOUN/nmod)",0,1,0,1,1
